Lab,Target,SamName,isCtrl,isCalib,Replicate,dPCR,Raw.Value,Experiment
Biodesix,N1,s03,FALSE,FALSE,3,TRUE,2600000,2
Biodesix,N2,s03,FALSE,FALSE,3,TRUE,2520000,2
Biodesix,N1,s02,FALSE,FALSE,1,TRUE,924000,2
Biodesix,N2,s02,FALSE,FALSE,1,TRUE,872000,2
Biodesix,N1,s02,FALSE,FALSE,3,TRUE,868000,2
Biodesix,N2,s02,FALSE,FALSE,3,TRUE,844000,2
Biodesix,N1,s04,FALSE,FALSE,3,TRUE,692000,2
Biodesix,N1,s01,FALSE,FALSE,2,TRUE,660000,2
Biodesix,N2,s01,FALSE,FALSE,2,TRUE,660000,2
Biodesix,N2,s04,FALSE,FALSE,3,TRUE,648000,2
Biodesix,N1,s01,FALSE,FALSE,3,TRUE,640000,2
Biodesix,N2,s01,FALSE,FALSE,3,TRUE,628000,2
Biodesix,N1,s02,FALSE,FALSE,2,TRUE,616000,2
Biodesix,N2,s02,FALSE,FALSE,2,TRUE,572000,2
Biodesix,N2,s01,FALSE,FALSE,1,TRUE,528000,2
Biodesix,N1,s01,FALSE,FALSE,1,TRUE,520000,2
Biodesix,N1,s01,FALSE,FALSE,3,TRUE,456000,1
Biodesix,N2,s03,FALSE,FALSE,2,TRUE,452000,1
Biodesix,N1,s02,FALSE,FALSE,1,TRUE,448000,1
Biodesix,N1,s04,FALSE,FALSE,1,TRUE,444000,2
Biodesix,N1,s04,FALSE,FALSE,2,TRUE,436000,2
Biodesix,N2,s04,FALSE,FALSE,1,TRUE,424000,2
Biodesix,N2,s04,FALSE,FALSE,2,TRUE,424000,2
Biodesix,N2,s02,FALSE,FALSE,3,TRUE,380000,1
Biodesix,N1,s04,FALSE,FALSE,1,TRUE,372000,1
Biodesix,N2,s03,FALSE,FALSE,1,TRUE,368000,1
Biodesix,N1,s04,FALSE,FALSE,2,TRUE,348000,1
Biodesix,N2,s04,FALSE,FALSE,3,TRUE,344000,1
Biodesix,N1,s06,FALSE,FALSE,2,TRUE,340000,2
Biodesix,N1,s06,FALSE,FALSE,1,TRUE,336000,2
Biodesix,N2,s01,FALSE,FALSE,3,TRUE,332000,1
Biodesix,N2,s05,FALSE,FALSE,2,TRUE,332000,2
Biodesix,N1,s05,FALSE,FALSE,2,TRUE,328000,2
Biodesix,N2,s06,FALSE,FALSE,2,TRUE,324000,2
Biodesix,N1,s05,FALSE,FALSE,2,TRUE,308000,1
Biodesix,N1,s06,FALSE,FALSE,3,TRUE,300000,2
Biodesix,N2,s06,FALSE,FALSE,1,TRUE,300000,2
Biodesix,N1,s05,FALSE,FALSE,1,TRUE,296000,2
Biodesix,N2,s04,FALSE,FALSE,1,TRUE,296000,1
Biodesix,N2,s05,FALSE,FALSE,3,TRUE,296000,2
Biodesix,N2,s06,FALSE,FALSE,3,TRUE,284000,2
Biodesix,N2,s01,FALSE,FALSE,1,TRUE,282400,1
Biodesix,N1,s05,FALSE,FALSE,3,TRUE,272000,2
Biodesix,N2,s05,FALSE,FALSE,1,TRUE,272000,2
Biodesix,N1,s01,FALSE,FALSE,1,TRUE,270400,1
Biodesix,N1,s05,FALSE,FALSE,1,TRUE,267200,1
Biodesix,N1,s05,FALSE,FALSE,3,TRUE,267200,1
Biodesix,N2,s04,FALSE,FALSE,2,TRUE,266000,1
Biodesix,N2,s05,FALSE,FALSE,2,TRUE,263600,1
Biodesix,N2,s02,FALSE,FALSE,1,TRUE,262800,1
Biodesix,N2,s05,FALSE,FALSE,3,TRUE,238800,1
Biodesix,N1,s02,FALSE,FALSE,2,TRUE,228800,1
Biodesix,N2,s05,FALSE,FALSE,1,TRUE,228800,1
Biodesix,N2,s02,FALSE,FALSE,2,TRUE,218800,1
Biodesix,N1,s06,FALSE,FALSE,1,TRUE,212400,1
Biodesix,N1,s06,FALSE,FALSE,2,TRUE,205200,1
Biodesix,N2,s06,FALSE,FALSE,2,TRUE,199200,1
Biodesix,N2,s01,FALSE,FALSE,2,TRUE,184000,1
Biodesix,N1,s01,FALSE,FALSE,2,TRUE,183600,1
Biodesix,N2,s06,FALSE,FALSE,1,TRUE,179200,1
Biodesix,N1,s06,FALSE,FALSE,3,TRUE,109200,1
Biodesix,N2,s06,FALSE,FALSE,3,TRUE,104000,1
Biodesix,N1,Asuragen,TRUE,TRUE,1,TRUE,96000,2
Biodesix,N2,Asuragen,TRUE,TRUE,2,TRUE,96000,2
Biodesix,N1,Asuragen,TRUE,TRUE,2,TRUE,64000,2
Biodesix,N2,Asuragen,TRUE,TRUE,1,TRUE,64000,2
Biodesix,N1,Asuragen,TRUE,TRUE,3,TRUE,32000,2
Biodesix,N2,Asuragen,TRUE,TRUE,3,TRUE,32000,2
Biodesix,N1,Asuragen,TRUE,TRUE,1,TRUE,28000,1
Biodesix,N1,s08,FALSE,FALSE,2,TRUE,13200,2
Biodesix,N2,s08,FALSE,FALSE,2,TRUE,13200,2
Biodesix,N1,s08,FALSE,FALSE,3,TRUE,12400,2
Biodesix,N2,s08,FALSE,FALSE,3,TRUE,12400,2
Biodesix,N2,s07,FALSE,FALSE,3,TRUE,8800,2
Biodesix,N2,s08,FALSE,FALSE,2,TRUE,8080,1
Biodesix,N1,s08,FALSE,FALSE,2,TRUE,8000,1
Biodesix,N1,s08,FALSE,FALSE,3,TRUE,7280,1
Biodesix,N2,s08,FALSE,FALSE,3,TRUE,7080,1
Biodesix,N1,s08,FALSE,FALSE,1,TRUE,6800,2
Biodesix,N2,s08,FALSE,FALSE,1,TRUE,6800,2
Biodesix,N1,s07,FALSE,FALSE,3,TRUE,6000,2
Biodesix,N1,s09,FALSE,FALSE,2,TRUE,6000,2
Biodesix,N1,s07,FALSE,FALSE,2,TRUE,4920,1
Biodesix,N2,s07,FALSE,FALSE,2,TRUE,4760,1
Biodesix,N1,s07,FALSE,FALSE,3,TRUE,3932,1
Biodesix,N2,s07,FALSE,FALSE,3,TRUE,3860,1
Biodesix,N1,s08,FALSE,FALSE,1,TRUE,3640,1
Biodesix,N2,s08,FALSE,FALSE,1,TRUE,3508,1
Biodesix,N1,s07,FALSE,FALSE,1,TRUE,3200,2
Biodesix,N1,s07,FALSE,FALSE,2,TRUE,3200,2
Biodesix,N1,s09,FALSE,FALSE,3,TRUE,3200,2
Biodesix,N2,s07,FALSE,FALSE,1,TRUE,3200,2
Biodesix,N2,s07,FALSE,FALSE,2,TRUE,3200,2
Biodesix,N2,s09,FALSE,FALSE,3,TRUE,3200,2
Biodesix,N1,s09,FALSE,FALSE,1,TRUE,2800,2
Biodesix,N2,s09,FALSE,FALSE,1,TRUE,2800,2
Biodesix,N2,s09,FALSE,FALSE,2,TRUE,2800,2
Biodesix,N1,s07,FALSE,FALSE,1,TRUE,2748,1
Biodesix,N2,s07,FALSE,FALSE,1,TRUE,2620,1
Biodesix,N1,s09,FALSE,FALSE,3,TRUE,1580,1
Biodesix,N1,s09,FALSE,FALSE,1,TRUE,1572,1
Biodesix,N2,s09,FALSE,FALSE,1,TRUE,1556,1
Biodesix,N2,s09,FALSE,FALSE,3,TRUE,1472,1
Biodesix,N1,s09,FALSE,FALSE,2,TRUE,1348,1
Biodesix,N2,s09,FALSE,FALSE,2,TRUE,1312,1
Biodesix,N2,s10,FALSE,FALSE,1,TRUE,636,1
Biodesix,N1,s10,FALSE,FALSE,1,TRUE,628,1
Biodesix,N2,s10,FALSE,FALSE,2,TRUE,592,1
Biodesix,N1,s10,FALSE,FALSE,2,TRUE,588,1
Biodesix,N1,s10,FALSE,FALSE,3,TRUE,588,1
Biodesix,N2,s10,FALSE,FALSE,3,TRUE,552,1
Biodesix,N1,LGC,TRUE,TRUE,1,TRUE,44,2
Biodesix,N2,LGC,TRUE,TRUE,2,TRUE,40,2
Biodesix,N1,LGC,TRUE,TRUE,1,TRUE,36,1
Biodesix,N1,LGC,TRUE,TRUE,2,TRUE,26.4,2
Biodesix,N1,LGC,TRUE,TRUE,3,TRUE,21.2,2
Biodesix,N2,LGC,TRUE,TRUE,3,TRUE,21.2,2
Biodesix,N2,LGC,TRUE,TRUE,2,TRUE,19.2,1
Biodesix,N2,LGC,TRUE,TRUE,1,TRUE,18.4,2
Biodesix,N2,LGC,TRUE,TRUE,1,TRUE,15.2,1
Biodesix,N1,LGC,TRUE,TRUE,3,TRUE,12.8,1
Biodesix,N2,LGC,TRUE,TRUE,3,TRUE,12.8,1
Biodesix,N1,LGC,TRUE,TRUE,2,TRUE,8.4,1
Biodesix,N1,AcroMetrix,TRUE,TRUE,1,TRUE,5.6,1
Biodesix,N1,AcroMetrix,TRUE,TRUE,2,TRUE,20.4,1
Biodesix,N1,AcroMetrix,TRUE,TRUE,3,TRUE,4.8,1
Biodesix,N1,AcroMetrix,TRUE,TRUE,1,TRUE,10.8,2
Biodesix,N1,AcroMetrix,TRUE,TRUE,2,TRUE,12.4,2
Biodesix,N1,AcroMetrix,TRUE,TRUE,3,TRUE,16.8,2
Biodesix,N2,AcroMetrix,TRUE,TRUE,1,TRUE,20.4,1
Biodesix,N2,AcroMetrix,TRUE,TRUE,2,TRUE,8.8,1
Biodesix,N2,AcroMetrix,TRUE,TRUE,3,TRUE,16.8,1
Biodesix,N2,AcroMetrix,TRUE,TRUE,1,TRUE,32,2
Biodesix,N2,AcroMetrix,TRUE,TRUE,2,TRUE,18.8,2
Biodesix,N2,AcroMetrix,TRUE,TRUE,3,TRUE,16.8,2
Biogazelle,E2:N,s01,FALSE,FALSE,1,FALSE,22.54339308,2
Biogazelle,E2:N,s01,FALSE,FALSE,2,FALSE,22.52269674,2
Biogazelle,E2:N,s01,FALSE,FALSE,3,FALSE,22.09454587,2
Biogazelle,E2:N,s01,FALSE,FALSE,4,FALSE,22.05447555,2
Biogazelle,E2:N,s02,FALSE,FALSE,1,FALSE,20.46879149,2
Biogazelle,E2:N,s02,FALSE,FALSE,2,FALSE,20.37998198,2
Biogazelle,E2:N,s02,FALSE,FALSE,3,FALSE,20.34452137,2
Biogazelle,E2:N,s02,FALSE,FALSE,4,FALSE,20.43680053,2
Biogazelle,E2:N,s03,FALSE,FALSE,1,FALSE,18.47001027,2
Biogazelle,E2:N,s03,FALSE,FALSE,2,FALSE,19.41819408,2
Biogazelle,E2:N,s03,FALSE,FALSE,3,FALSE,19.06161853,2
Biogazelle,E2:N,s03,FALSE,FALSE,4,FALSE,19.05363521,2
Biogazelle,E2:N,s04,FALSE,FALSE,1,FALSE,20.39939202,2
Biogazelle,E2:N,s04,FALSE,FALSE,2,FALSE,20.5016043,2
Biogazelle,E2:N,s04,FALSE,FALSE,3,FALSE,20.50834345,2
Biogazelle,E2:N,s04,FALSE,FALSE,4,FALSE,20.43952516,2
Biogazelle,E2:N,s05,FALSE,FALSE,1,FALSE,22.44404345,2
Biogazelle,E2:N,s05,FALSE,FALSE,2,FALSE,22.42102986,2
Biogazelle,E2:N,s05,FALSE,FALSE,3,FALSE,22.4263275,2
Biogazelle,E2:N,s05,FALSE,FALSE,4,FALSE,22.53225675,2
Biogazelle,E2:N,s06,FALSE,FALSE,1,FALSE,21.29960079,2
Biogazelle,E2:N,s06,FALSE,FALSE,2,FALSE,21.43808338,2
Biogazelle,E2:N,s06,FALSE,FALSE,3,FALSE,21.25612707,2
Biogazelle,E2:N,s06,FALSE,FALSE,4,FALSE,21.26251607,2
Biogazelle,E2:N,s07,FALSE,FALSE,1,FALSE,28.27472478,2
Biogazelle,E2:N,s07,FALSE,FALSE,2,FALSE,28.04156131,2
Biogazelle,E2:N,s07,FALSE,FALSE,3,FALSE,27.66731714,2
Biogazelle,E2:N,s07,FALSE,FALSE,4,FALSE,28.12178527,2
Biogazelle,E2:N,s08,FALSE,FALSE,1,FALSE,27.36492422,2
Biogazelle,E2:N,s08,FALSE,FALSE,2,FALSE,26.82509236,2
Biogazelle,E2:N,s08,FALSE,FALSE,3,FALSE,27.07784377,2
Biogazelle,E2:N,s08,FALSE,FALSE,4,FALSE,27.11625077,2
Biogazelle,E2:N,s09,FALSE,FALSE,1,FALSE,28.4020925,2
Biogazelle,E2:N,s09,FALSE,FALSE,2,FALSE,29.87838352,2
Biogazelle,E2:N,s09,FALSE,FALSE,3,FALSE,29.39530556,2
Biogazelle,E2:N,s09,FALSE,FALSE,4,FALSE,29.33636898,2
Biogazelle,E2:N,s10,FALSE,FALSE,1,FALSE,29.97778368,2
Biogazelle,E2:N,s10,FALSE,FALSE,2,FALSE,30.0731128,2
Biogazelle,E2:N,s10,FALSE,FALSE,3,FALSE,29.88612034,2
Biogazelle,E2:N,s10,FALSE,FALSE,4,FALSE,29.72513375,2
Biogazelle,E2:N,s11,FALSE,FALSE,1,FALSE,NA,2
Biogazelle,E2:N,s11,FALSE,FALSE,2,FALSE,NA,2
Biogazelle,E2:N,s11,FALSE,FALSE,3,FALSE,NA,2
Biogazelle,E2:N,s11,FALSE,FALSE,4,FALSE,44.46548438,2
Biogazelle,E2:N,s12,FALSE,FALSE,1,FALSE,NA,2
Biogazelle,E2:N,s12,FALSE,FALSE,2,FALSE,NA,2
Biogazelle,E2:N,s12,FALSE,FALSE,3,FALSE,NA,2
Biogazelle,E2:N,s12,FALSE,FALSE,4,FALSE,NA,2
Biogazelle,E2:N,s13,FALSE,FALSE,1,FALSE,NA,2
Biogazelle,E2:N,s13,FALSE,FALSE,2,FALSE,NA,2
Biogazelle,E2:N,s13,FALSE,FALSE,3,FALSE,NA,2
Biogazelle,E2:N,s13,FALSE,FALSE,4,FALSE,NA,2
Biogazelle,E2:N,s14,FALSE,FALSE,1,FALSE,NA,2
Biogazelle,E2:N,s14,FALSE,FALSE,2,FALSE,NA,2
Biogazelle,E2:N,s14,FALSE,FALSE,3,FALSE,NA,2
Biogazelle,E2:N,s14,FALSE,FALSE,4,FALSE,NA,2
Biogazelle,E2:N,s15,FALSE,FALSE,1,FALSE,NA,2
Biogazelle,E2:N,s15,FALSE,FALSE,2,FALSE,NA,2
Biogazelle,E2:N,s15,FALSE,FALSE,3,FALSE,NA,2
Biogazelle,E2:N,s15,FALSE,FALSE,4,FALSE,NA,2
Biogazelle,E2:N,LGC,TRUE,TRUE,1,FALSE,35.70611088,2
Biogazelle,E2:N,LGC,TRUE,TRUE,2,FALSE,35.25760845,2
Biogazelle,E2:N,LGC,TRUE,TRUE,3,FALSE,34.72095469,2
Biogazelle,E2:N,LGC,TRUE,TRUE,4,FALSE,35.0019864,2
Biogazelle,E2:N,AcroMetrix,TRUE,TRUE,1,FALSE,38.52524676,2
Biogazelle,E2:N,AcroMetrix,TRUE,TRUE,2,FALSE,38.41066215,2
Biogazelle,E2:N,AcroMetrix,TRUE,TRUE,3,FALSE,39.5000814,2
Biogazelle,E2:N,AcroMetrix,TRUE,TRUE,4,FALSE,39.76194796,2
